url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
https://scratch.mit.edu/projects/957967074/,https://scratch.mit.edu/projects/957967074/,14,1,1,0,2,3,1,4,2,0,0,4,7,4,None,Default,11,1,1,0,2,3,1,3,97
https://scratch.mit.edu/projects/747653991/,https://scratch.mit.edu/projects/747653991/,24,4,3,2,2,3,2,4,2,2,0,2,1,1,None,Default,18,3,3,2,2,3,2,3,73
https://scratch.mit.edu/projects/882093984/,https://scratch.mit.edu/projects/882093984/,22,2,3,2,1,3,2,4,1,4,0,0,0,1,None,Default,16,2,3,2,1,3,2,3,85
https://scratch.mit.edu/projects/953962827/,https://scratch.mit.edu/projects/953962827/,27,4,4,1,4,3,1,4,4,2,6,5,9,0,None,Default,17,3,3,1,3,3,1,3,615
https://scratch.mit.edu/projects/965221739/,https://scratch.mit.edu/projects/965221739/,23,3,1,0,2,4,1,4,4,4,0,0,0,3,None,Default,13,3,1,0,2,3,1,3,234
https://scratch.mit.edu/projects/957967074/,https://scratch.mit.edu/projects/957967074/,14,1,1,0,2,3,1,4,2,0,0,4,7,4,None,Default,11,1,1,0,2,3,1,3,97
https://scratch.mit.edu/projects/747653991/,https://scratch.mit.edu/projects/747653991/,24,4,3,2,2,3,2,4,2,2,0,2,1,1,None,Default,18,3,3,2,2,3,2,3,73
https://scratch.mit.edu/projects/882093984/,https://scratch.mit.edu/projects/882093984/,22,2,3,2,1,3,2,4,1,4,0,0,0,1,None,Default,16,2,3,2,1,3,2,3,85
https://scratch.mit.edu/projects/953962827/,https://scratch.mit.edu/projects/953962827/,27,4,4,1,4,3,1,4,4,2,6,5,9,0,None,Default,17,3,3,1,3,3,1,3,615
https://scratch.mit.edu/projects/965221739/,https://scratch.mit.edu/projects/965221739/,23,3,1,0,2,4,1,4,4,4,0,0,0,3,None,Default,13,3,1,0,2,3,1,3,234
