url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,cad970eb-8f77-481c-a65e-d8457ba46132_2024_05_31_07_59_37_692694.sb3,19,3,0,2,2,3,2,4,3,0,0,0,0,1,None,Default,15,3,0,2,2,3,2,3,39
,1001136421_2024_06_11_10_36_13_376676.sb3,33,4,4,4,4,3,3,4,3,4,6,3,6,3,None,Default,21,3,3,3,3,3,3,3,1190
,ae91e972-65b3-4e41-b077-39b647038f00_2024_05_31_05_35_53_441980.sb3,17,3,0,1,2,3,1,4,3,0,0,0,0,1,None,Default,13,3,0,1,2,3,1,3,28
,f4069681-a7e3-4dc3-a9db-244406d336de_2024_06_01_13_01_34_905584.sb3,20,3,2,2,2,3,2,4,2,0,0,0,0,0,None,Default,17,3,2,2,2,3,2,3,54
,906654888_2024_06_27_20_48_56_163175.sb3,5,1,0,0,0,1,2,1,0,0,0,0,1,1,None,Default,5,1,0,0,0,1,2,1,5
,1012036934_2024_06_12_12_01_18_803939.sb3,8,1,1,0,1,2,2,1,0,0,0,1,2,1,None,Default,8,1,1,0,1,2,2,1,41
,b12971be-9d0f-4207-bba7-09d759ed4533_2024_06_18_05_26_05_786430.sb3,10,1,0,0,1,2,2,3,0,1,0,0,1,1,None,Default,9,1,0,0,1,2,2,3,11
,9ca37547-4b7b-4889-afcf-5ed705984477_2024_05_14_06_47_17_564907.sb3,12,1,1,1,2,2,1,2,0,2,0,0,0,1,None,Default,10,1,1,1,2,2,1,2,26
,38b693d3-ba48-4434-9d31-1985b6e48a81_2024_06_07_06_28_34_657370.sb3,16,1,1,0,2,3,2,4,2,1,0,0,0,0,None,Default,12,1,1,0,2,3,2,3,22
,abc96693-e587-4cc3-8d99-96bd6a1b0d43_2024_05_22_06_25_32_869593.sb3,17,1,1,2,1,3,1,4,0,4,0,1,0,1,None,Default,12,1,1,2,1,3,1,3,33
,b7f5fc8a-fea4-4257-b2dd-81f4e051f95a_2024_06_18_15_29_46_313777.sb3,30,2,4,4,4,3,3,4,2,4,16,33,4,0,None,Default,20,2,3,3,3,3,3,3,1700
,93034b8d-1868-450f-a97a-1b5c0d59e4fe_2024_06_19_13_00_43_628598.sb3,18,3,4,0,3,2,2,2,1,1,0,0,0,3,None,Default,15,3,3,0,3,2,2,2,187
,3d9d2a1f-676a-4614-8066-77a5796d4d94_2024_05_31_15_05_29_237218.sb3,13,1,1,1,1,2,2,1,0,4,0,1,1,1,None,Default,9,1,1,1,1,2,2,1,20
,753499443_2024_05_30_01_43_29_258881.sb3,29,4,4,2,2,4,3,4,2,4,0,6,4,4,None,Default,19,3,3,2,2,3,3,3,423
,957967074_2024_06_12_16_16_29_979185.sb3,14,1,1,0,2,3,1,4,2,0,0,4,7,4,None,Default,11,1,1,0,2,3,1,3,97
,af886a9f-73e2-465d-acfe-5815dca07304_2024_05_14_06_35_48_648158.sb3,18,1,4,1,3,2,2,1,0,4,0,2,0,1,None,Default,13,1,3,1,3,2,2,1,36
,1028315007_2024_06_30_22_54_18_878631.sb3,31,3,4,4,4,2,4,4,2,4,6,0,0,0,None,Default,20,3,3,3,3,2,3,3,1081
,4b3e6d31-ea91-4b1d-96b6-fc4d7e233299_2024_06_05_20_01_33_227965.sb3,25,1,4,1,4,2,3,4,2,4,0,0,0,1,None,Default,16,1,3,1,3,2,3,3,286
,1efd3256-682a-4954-8894-3d2a12590cf0_2024_05_11_17_45_06_272913.sb3,5,0,0,0,0,2,1,2,0,0,0,0,1,1,None,Default,5,0,0,0,0,2,1,2,5
,dd604afa-e87a-4d8b-aaa5-2b45d6cfa4fa_2024_06_23_18_48_11_606747.sb3,24,1,4,2,3,2,2,4,2,4,0,0,0,0,None,Default,16,1,3,2,3,2,2,3,178
,18dc5155-9412-4d8a-9105-1161792f2d79_2024_05_09_02_22_47_356697.sb3,8,0,0,0,1,2,1,1,1,2,0,0,1,0,None,Default,5,0,0,0,1,2,1,1,12
,3b98a03a-afff-46a8-a738-d8f37462c7ad_2024_06_06_01_34_04_133809.sb3,34,4,4,4,4,4,3,4,3,4,0,6,0,0,None,Default,21,3,3,3,3,3,3,3,1447
,960588878_2024_06_01_15_45_27_047939.sb3,36,4,4,4,4,4,4,4,4,4,5,108,2,4,None,Default,21,3,3,3,3,3,3,3,4469
